공통표준단어명,공통표준단어영문약어명,공통표준단어 영문명,공통표준단어 설명,형식단어여부,공통표준도메인분류명,이음동의어 목록,금칙어 목록,제정차수,"개정구분명(폐기 또는 변경)",개정항목,개정사유
가산,ADTN,Addition,加算. 더하여 셈함. 몇 개의 수나 식 따위를 합하여 계산함. 또는 그런 셈,N,,,,2차(2020-12),,,
가산금,ADAMT,Additional Amount,"加算金. 세금이나 공공요금 따위를 납부 기한까지 내지 않은 경우, 원래 금액에 일정한 비율로 덧붙여 매기는 금액",Y,금액,,,8차(2025-11),,,
가산세,ADDTX,Additional Tax,加算稅. 규정한 세금을 납부하지 않았을 때 본래 부과된 금액에 일정 비율로 금액을 부과하는 세금,Y,금액,,,5차(2022-07),,,
가산점,ADSC,Additional Score,加算點. 어떤 것에 대한 대가로 더 주는 점수,N,,,,7차(2024-11),,,
가상,VR,Virtual,假象. 주관적으로는 실제 있는 것처럼 보이나 객관적으로는 존재하지 않는 거짓 현상. 假想. 사실이 아니거나 사실 여부가 분명하지 않은 것을 사실이라고 가정하여 생각함,N,,,,2차(2020-12),,,
가속도,ACL,Acceleration,加速度. 일의 진행에 따라 점점 더해지는 속도 또는 그렇게 변하는 속도,Y,수,,,8차(2025-11),,,
가수금,SPRCP,Suspense Receipt,假受金. 부기(簿記)에서 처리할 계정이 미정(未定)인 상태로 우선 받아 두는 돈,Y,금액,,,6차(2023-11),,,
가스,GAS,Gas,GAS. 기체 물질을 통틀어 이르는 말,N,,,,6차(2023-11),,,
가압류,PRAT,Provisional Attachment,假押留. 민사 소송법에서 법원이 채권자를 위하여 나중에 강제 집행을 할 목적으로 채무자의 재산을 임시로 확보하는 일,N,,,,6차(2023-11),,,
가액,EQVL,Equivalent Value,價額. 물건의 가치에 상당한 금액,Y,금액,,,6차(2023-11),,,
가용,AVL,Available,可用. 사용할 수 있음,N,,,,7차(2024-11),,,
가입,JOIN,Join,"加入. 조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 따위를 신청함",N,,,,1차(2020-08),,,
가입비,MBSFE,Membership Fee,加入費. 어떤 모임 따위에 들어가기 위하여 필요한 비용,Y,비용,,,8차(2025-11),,,
가입자,SBSR,Subscriber,加入者. 조직이나 단체 따위에 들어간 사람 또는 서비스를 제공하는 상품 따위를 신청한 사람,N,,,,6차(2023-11),,,
가족,FAM,Family,"家族. 주로 부부를 중심으로 한, 친족 관계에 있는 사람들의 집단. 또는 그 구성원. 혼인, 혈연, 입양 등",N,,,,2차(2020-12),,,
가족력,FMHST,Family History,"家族歷. 환자의 가족이나 가까운 친척, 같이 사는 사람들의 의학적 내력",N,,,,8차(2025-11),,,
가중치,WGVL,Weighted Value,加重値. 일반적으로 평균치를 산출할 때 개별치에 부여되는 중요도 또는 어떤 상품이 경제생활에서 차지하는 중요도,N,,,,6차(2023-11),변경,공통표준단어 설명,유관 단어와의 통일성 및 적합성을 고려하여 설명 수정
가중평균,WGAV,Weighted Average,加重平均. 각 항의 수치에 그 중요도에 비례하는 계수를 곱한 다음 산출한 평균,N,,,,8차(2025-11),,,
가지급,PRVPY,Provisional Payment,假支給. 치를 돈 따위의 일부 또는 전액을 정한 날보다 앞당겨 임시로 지급하는 일,N,,가지불,,6차(2023-11),,,
가축,LVST,Livestock,家畜. 집에서 기르는 짐승,N,,,,8차(2025-11),,,
가치,WRTH,Worth,價値. 사물이 지니고 있는 쓸모,N,,,,6차(2023-11),,,
가해자,ASLNT,Assailant,"加害者. 다른 사람의 생명이나 신체, 재산, 명예 따위에 해를 끼친 사람",N,,,,7차(2024-11),,,
각도,ANGL,Angle,角度. 한 점에서 갈리어 나간 두 직선의 벌어진 정도,Y,수,,,8차(2025-11),,,
각하,RJTN,Rejection,"却下. 행정법에서, 국가 기관에 대한 행정상 신청을 배척하는 처분",N,,,,6차(2023-11),,,
간선시설,ATLFCS,Arterial Facilities,幹線施設. 도로ㆍ상하수도ㆍ전기시설ㆍ가스시설ㆍ통신시설 및 지역난방시설 등 주택단지 안의 기간시설을 그 주택단지 밖에 있는 같은 종류의 기간시설에 연결하는 시설,N,,,,4차(2021-12),,,
간염,HPTS,Hepatitis,肝炎. 간에 생기는 염증을 통틀어 이르는 말,N,,,,8차(2025-11),,,
간접,IDRT,Indirect,間接. 중간에 매개(媒介)가 되는 사람이나 사물 따위를 통하여 맺어지는 관계,N,,,,6차(2023-11),,,
간접비,IDRCO,Indirect Cost,間接費. 여러 가지 제품의 생산에 공통으로 소요되는 비용,Y,비용,"간접생산비, 공통비용",,6차(2023-11),,,
간행물,PBLC,Publication,"刊行物. 간행된 책, 신문, 그림 따위를 통틀어 이르는 말",N,,발간물,,6차(2023-11),,,
간호사,NRS,Nurse,看護師. 의사의 진료를 돕고 환자를 돌보는 사람으로서 법으로 그 자격을 정함,N,,,,6차(2023-11),,,
감가상각,DPRC,Depreciation,減價償却. 토지를 제외한 고정 자산에 생기는 가치의 소모를 셈하는 회계상의 절차. 고정 자산 가치의 소모를 각 회계 연도에 할당하여 그 자산의 가격을 줄여 간다,N,,,,7차(2024-11),,,
감가상각률,DPRT,Depreciation Rate,減價償却率. 유형의 고정 자산의 원가에 대한 감가상각액의 비율,Y,율,,,6차(2023-11),,,
감가상각비,DPCO,Depreciation Cost,減價償却費. 감가상각액을 충당하는 비용,Y,비용,,,6차(2023-11),,,
감독자,SPVSR,Supervisor,監督者. 감독하는 사람,N,,,,6차(2023-11),,,
감리,SPVS,Supervision,監理. 감독하고 관리함,N,,,,6차(2023-11),,,
감리원,SPVR,Supervisor,監理員. 감리 업무를 하는 사람,N,,감리자,,7차(2024-11),,,
감면,RDCT,Reduction,減免. 매겨야 할 부담 따위를 덜어 주거나 면제함,N,,,,6차(2023-11),,,
감면율,RDCRT,Reduction Rate,減免率. 매겨야 할 부담 따위를 덜어 주거나 면제한 정도. 또는 그 비율,Y,율,,,6차(2023-11),,,
감사,ADT,Audit,勘査. 잘 살펴 조사함,N,,,,6차(2023-11),,,
감사인,ADTR,Auditor,監査人. 실제로 감사 업무를 담당하는 사람을 이르는 말,N,,감사자,,7차(2024-11),,,
감소,DCRS,Decrease,減少. 양이나 수치가 줆. 또는 양이나 수치를 줄임,N,,,,6차(2023-11),,,
감소율,RDRT,"	Reduction Rate",減少率. 줄어드는 비율,Y,율,,,8차(2025-11),,,
감액,RDAMT,Reduction Amount,減額. 액수를 줄임 또는 줄인 액수,N,,,,6차(2023-11),,,
감점,SBPT,Subtract Points,減點. 점수가 깎임 또는 그 점수,N,,,,6차(2023-11),,,
감정,APRS,Appraisal,"鑑定. 사물의 특성이나 참과 거짓, 좋고 나쁨을 분별하여 판정함",N,,,,6차(2023-11),,,
감정가,APPRC,Appraised Price,"鑑定價. 골동품, 역사 자료, 보석, 토지 따위의 사물에 대하여 특성이나 가치를 분별하여 매기는 가격",Y,가격,감정값,,6차(2023-11),,,
감축량,RDQTY,Reduction Quantity,減縮量. 종전보다 소비하거나 버리던 양에서 줄인 양,Y,수,,,8차(2025-11),,,
값,VL,Value,값. 어떤 사물의 중요성이나 의의,N,,,,5차(2022-07),,,
강도,STR,Strength,強度. 어떤 것의 센 정도 또는 전장(電場)·전류(電流)·방사능 따위의 양(量)의 세기,Y,수,,,8차(2025-11),,,
강등,DMTN,Demotion,降等. 등급이나 계급 따위가 낮아짐 또는 등급이나 계급 따위를 낮춤,N,,,,8차(2025-11),,,
강사,INSTR,Instructor,講師. 학교나 학원 따위에서 위촉을 받아 강의를 하는 사람,N,,,,2차(2020-12),,,
강사료,LCFE,Lecturer Fee,講師料. 강의를 한 대가로 받는 돈,Y,요금,,,8차(2025-11),,,
강설량,SNFL,Snowfall,降雪量. 일정한 기간 동안 일정한 곳에 내린 눈의 양,Y,수,,,8차(2025-11),,,
강수,PRCP,Precipitation,"降水. 비, 눈, 우박, 안개 따위로 지상에 내린 물",N,,,,8차(2025-11),,,
강수량,RN,Rainfall,"降水量. 비, 눈, 우박, 안개 따위로 일정 기간 동안 일정한 곳에 내린 물의 총량",Y,수,,,6차(2023-11),,,
강수확률,POR,Probability Of Rainfall,降水確率. 일정한 지역 안에 있는 임의의 장소에서 지정한 시간 동안 측량할 만한 충분한 양의 비가 내릴 확률,Y,율,,,6차(2023-11),,,
강열감량,IGLS,Ignition Loss,强熱減量. 시료를 고온에서 가열했을 때 무게가 감소하는 현상,N,,,,8차(2025-11),,,
강우량,RNFL,Rainfall,降雨量. 일정 기간 동안 일정한 곳에 내린 비의 분량,Y,수,,,8차(2025-11),,,
강의,LCTR,Lecture,講義. 학문이나 기술의 일정한 내용을 체계적으로 설명하여 가르침,N,,,,6차(2023-11),,,
강의료,LCTRFE,Lecture Fee,講義料. 강의에 대한 보수로 받거나 내는 돈,Y,요금,,,8차(2025-11),,,
강의실,LCTRM,Lecture Room,講義室. 강의하는 데 쓰는 방,N,,,,6차(2023-11),,,
강점,STRPT,Strong Point,強點. 남보다 우세하거나 더 뛰어난 점,N,,,,8차(2025-11),,,
강좌,CORS,Course,講座. 강의나 강연 또는 설교를 하는 자리,N,,,,8차(2025-11),,,
개간면적,LDRCAR,Land Reclamation Area,開墾面積. 거친 땅이나 버려둔 땅을 일구어 쓸모 있는 땅으로 만든 공간의 넓이,Y,면적,,,8차(2025-11),,,
개관,OPNNG,Opening,"開館. 도서관, 영화관, 박물관, 회관 따위의 기관이 설비를 차려 놓고 처음이나 그날의 일을 시작하기 위하여 문을 엶 또는 그렇게 함",N,,,,7차(2024-11),변경,공통표준단어 설명,유관 단어와의 통일성 및 적합성을 고려하여 설명 수정
개교,OPSCH,Open A School,開校. 학교를 새로 세워 처음으로 운영을 시작함,N,,,,8차(2025-11),,,
개략,OUTL,Outline,槪略. 내용을 대강 추려 줄임 또는 그런 것,N,,,,8차(2025-11),,,
개발,DVLP,Development,"開發. 새로운 물건을 만들거나 새로운 생각을 내어놓음. 소프트웨어 공학에서는 요구분석, 설계, 코딩, 통합, 시험, 설치와 소프트웨어 제품의 인수를 지원하기 위한 소프트웨어 생명주기 프로세스를 말함",N,,,,6차(2023-11),,,
개발비,DVLCO,Development Cost,"開發費. 새 기술의 도입, 경영 조직의 개선, 시장의 개척 따위를 위하여 지출하는 돈",Y,비용,,,7차(2024-11),,,
개발자,DVLPR,Developer,"開發者. 새로운 물건을 만들거나 새로운 생각을 내놓는 사람. 소프트웨어 공학에서는 소프트웨어 생명주기 동안 개발 활동(요구 분석, 설계, 시험에서 인수까지)을 수행하는 개인 또는 조직",N,,,,6차(2023-11),,,
개방,OPN,Open,開放. 문이나 어떠한 공간 따위를 열어 자유롭게 드나들고 이용하게 함,N,,,,6차(2023-11),,,
개별,INDIV,Individual,個別. 여럿 중에서 하나씩 따로 나뉘어 있는 상태,N,,,,2차(2020-12),,,
개봉,OPEN,Open,開封. 봉하여 두었던 것을 떼거나 엶,N,,,,7차(2024-11),,,
개선,IMPV,Improvement,"改善. 잘못된 것이나 부족한 것, 나쁜 것 따위를 고쳐 더 좋게 만듦",N,,,,6차(2023-11),,,
개설,ESTBL,Establishment,開設. 설비나 제도 따위를 새로 마련하고 그에 관한 일을 시작함,N,,,,1차(2020-08),,,
개시,STRT,Start,開始. 행동이나 일 따위를 시작함 ,N,,,,1차(2020-08),,,
개업,OPBIZ,Opening of Business,開業. 영업을 처음 시작함,N,,,,1차(2020-08),,,
개요,OTLN,Outline,槪要. 간결하게 추려낸 주요 내용,Y,내용,,,6차(2023-11),,,
개월수,MCNT,Month Count,個月數. 개월의 수효,Y,수,,,6차(2023-11),,,
개인,INDV,Individuals,"個人. 국가나 사회, 단체 등을 구성하는 낱낱의 사람",N,,,,6차(2023-11),,,
개인식별,PRIDTF,Personal Identification,"個人識別. 성명을 알 수 없는 사람이나 시체의 신원을 지문, 혈액형, 발자국, 글씨 따위를 조사하여 알아내는 일",N,,,,5차(2022-07),,,
개인정보,PRVC,Privacy,"個人情報. 살아 있는 개인에 관한 정보로서 성명, 주민등록번호 및 영상 등을 통하여 개인을 알아볼 수 있는 정보(해당 정보만으로는 특정 개인을 알아볼 수 없더라도 다른 정보와 쉽게 결합하여 알아볼 수 있는 것을 포함한다)",N,,,,1차(2020-08),,,
개점,OPSTR,Open Store,"開店. 새로 가게를 내어 처음으로 영업을 시작하거나, 가게 문을 열고 하루의 영업을 시작함",N,,,,6차(2023-11),변경,공통표준단어 설명,유관 단어와의 통일성 및 적합성을 고려하여 설명 수정
개정,RVSN,Revision,改正. 주로 문서의 내용 따위를 고쳐 바르게 함,N,,,,1차(2020-08),,,
개찰,BDOPN,Bid Opening,開札. 입찰한 결과를 견주어 조사함,N,,,,6차(2023-11),,,
개체,INDVD,Individual,個體. 전체나 집단에 상대하여 하나하나의 낱개를 이르는 말,N,,,,8차(2025-11),,,
개최,HDMT,Hold A Meeting,開催. 모임이나 회의 등을 주최하여 엶,N,,,,3차(2021-10),,,
개통,OPNG,Opening,"開通. 길, 다리, 철로, 전화, 전신 따위를 완성하거나 이어 통하게 함",N,,,,5차(2022-07),,,
개편,RGNZ,Reorganization,改編. 조직 따위를 고쳐 편성함,N,,,,8차(2025-11),,,
객관식,MLCH,Multiple Choice,客觀式. ‘선택형’을 일상적으로 이르는 말,N,,,,7차(2024-11),,,
객석,ADTRM,Auditorium,客席. 극장 따위에서 손님이 앉는 자리,N,,,,7차(2024-11),,,
객실,GSRM,Guest Room,客室. 손님을 거처하게 하거나 접대할 수 있도록 정해 놓은 방,N,,,,6차(2023-11),,,
객체,OBJT,Object,客體. 의사나 행위가 미치는 대상 또는 모두 포함한 개념,N,,,,6차(2023-11),,,
갱신,UPDT,Update,更新. 이미 있던 것을 고쳐 새롭게 함,N,,업데이트,,1차(2020-08),,,
거래,DLNG,Dealings,去來. 주고 받음 또는 사고 팖,N,,,,1차(2020-08),,,
거래자,DLR,Dealer,去來者. 물건을 사고 팔거나 돈을 주고받는 사람,N,,,,6차(2023-11),,,
거래처,CNPT,Counterparty,去來處. 돈이나 물건 따위를 계속 거래하는 곳,N,,,,2차(2020-12),,,
거리,DSTNC,Distance,距離.  두 개의 물건이나 장소 따위가 공간적으로 떨어진 길이,Y,수,,,7차(2024-11),,,
거부,RJT,Rejection,拒否. 요구나 제의 따위를 받아들이지 않고 물리침,N,,,,8차(2025-11),,,
거소,PLCRS,Place Of Residence,居所. 살고 있는 곳,N,,,,8차(2025-11),,,
거절,RFSL,Refusal,"拒絕. 상대편의 요구, 제안, 선물, 부탁 따위를 받아들이지 않고 물리침",N,,,,6차(2023-11),,,
거주,HAB,Habitation,居住. 일정한 곳에 머물러 삶 또는 그런 집,N,,주거,,6차(2023-11),,,
거주자,RSDNT,Resident,居住者. 일정한 곳에 거주하는 사람,N,,,,8차(2025-11),,,
거주지,RSDC,Residence,居住地. 현재 거주하고 있는 장소,N,,,,6차(2023-11),,,
거치,DFMT,Deferment,"据置. 그대로 둠 또는 공채(公債), 사채(社債) 따위의 상환 또는 지급을 일정 기간 하지 않는 일",N,,,,6차(2023-11),,,
거치연수,DFYRS,Deferment Years,"据置年數. 공채(公債), 사채(社債) 따위의 상환 또는 지급을 일정 기간 하지 않는 해의 수",Y,수,,,6차(2023-11),,,
건강,HLTH,Health,健康. 정신적으로나 육체적으로 아무 탈이 없고 튼튼함 또는 그런 상태,N,,,,6차(2023-11),,,
건강보험증,HIC,Health Insurance Card,健康保險證. 건강 보험 계약의 성립을 증명하는 문서,N,,,,6차(2023-11),,,
건물,BLDG,Building,"建物. 사람이 들어 살거나, 일을 하거나, 물건을 넣어 두기 위하여 지은 집을 통틀어 이르는 말",N,,,,2차(2020-12),,,
건물번호,BNO,Building Number,建物番號. 행정안전부장관이 정하는 기준에 따라 건물(둘 이상의 건물 등이 현실적으로 하나의 집단을 형성하고 있는 경우에는 그 건물등의 전체)마다 매긴 번호,Y,건물번호,,,2차(2020-12),,,
건물본번,BMNO,Building Main Number,建物本番. 행정안전부장관이 정하는 기준에 따라 건물마다 매긴 번호의 붙임표(-) 앞에 오는 주된 번호,Y,건물본번,,,2차(2020-12),,,
건물부번,BSNO,Building Sub Number,建物副番. 행정안전부장관이 정하는 기준에 따라 건물마다 매긴 번호의 붙임표(-) 뒤에 오는 가지 번호,Y,건물부번,,,2차(2020-12),,,
건설,CNSTR,Construction,"建設. 건물, 설비, 시설 따위를 새로 만들어 세움",N,,,,8차(2025-11),,,
건설기계,CNEQ,Construction Equipment,建設機械. 건설 공사에 쓰는 기계를 통틀어 이르는 말,N,,,,8차(2025-11),,,
건수,NOCS,The Number Of Cases,件數. 일이나 사건 따위의 수,Y,수,,,2차(2020-12),변경,공통표준단어 설명,유관 단어와의 통일성 및 적합성을 고려하여 설명 수정
건의,SGST,Suggestion,建議. 개인이나 단체가 의견이나 희망을 내놓음 또는 그 의견이나 희망,N,,,,6차(2023-11),,,
건축,ARCH,Architecture,"建築. 집이나 성, 다리 따위의 구조물을 그 목적에 따라 설계하여 흙이나 나무, 돌, 벽돌, 쇠 따위를 써서 세우거나 쌓아 만드는 일",N,,,,5차(2022-07),,,
건축면적,BDAR,Building Area,"建築面積. 건축물 외벽의 중심선으로 둘러싸인 부분의 수평투영면적, 즉 건물의 가장 넓은 바닥면적으로, 보통은 가장 넓은 층인 1층의 바닥 넓이",Y,면적,건물면적,,2차(2020-12),,,
